	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
S127	1.812419213145407	1.317287147168862	0.5736322955590775	1.2828695706384894	1.9582260745961892	1.2500424565184765	1.1822897334036657	0.34771936003315107	1.9964452005737199	1.7805923156980341	0.0	1.9163345648202899	1.4073635880307318	1.6277678570034066	1.4341812262976799	2.1422092822142047	1.4984821827948012	1.374379702179291	2.1013931992595425	0.8633333357626255	2.5689896565813233	0.8683494213623243	1.4999919063301312	2.9408969043635422	1.897527801175856	1.670991316955305	3.0602422662923017	1.275171289479055	2.032113052611113	2.3100992464371224	1.388546206597081	1.134150541141546	1.7180355460604642	1.5441042218527972	2.1558163091684257	0.667101916764017	1.7497957497077372	1.2237989263276867	1.5572546259127176	1.0813897024673464	2.574264828144357	1.509747692885831	1.1404465221638507	0.6540166094700472	1.8768620698792071	1.5651808690095455	1.5072995133277949	0.7599794425234213	1.7668699005279263	2.415166497666704	2.1388824070543135	1.1027751537762809	1.024593610474	3.0210384777904875	2.257672693092126	1.7155017240681183	2.1735397938807735	2.260744601859646	2.2132921718150236	2.060698646602727	1.200463979447679	2.5523560786967203	2.0933293188639874	2.557738879616133	1.436157818776446	1.3626473711039222	2.3837552058311204	1.7524837190058768	2.0056802862171916
S128	2.962192268982608	1.2156725738687715	1.68993772168163	2.6221746392189664	3.4209321586543053	2.8435180666028903	1.6461032599731338	2.034816812125956	1.4112461079873149	0.631145026100174	1.9163345648202899	0.0	3.0351959850044627	1.5383768723263376	2.5503726253522876	0.9685938428070759	3.2648296096252025	0.9155188413613271	3.6327266354837735	2.7444096693802584	3.0199690535505606	2.7275530862108073	3.204569280204016	3.259350717896406	0.38081759894482375	2.4493850851917025	3.414794949288324	2.9613985288088185	2.0422313140687773	1.7632112696777291	2.606852620729423	2.898181731391962	0.753414967105585	2.5569156855038275	2.2014903539978565	1.9077804522603428	0.9690056122836777	2.889250892676576	1.2892552235644248	2.49620471625621	2.908955613652554	0.5837180404557114	2.6844443540886957	1.7977767726343374	1.365453911454382	2.9022622676932124	1.0199646481252624	2.4143903574409293	1.0807232622347915	3.5013607400144715	1.464891006584977	2.539389627742891	2.8195218537665476	2.90983284724716	3.3902777965681294	1.1992131764551046	3.920876120070621	2.5713795563549198	3.8559110322483137	1.862139782542866	2.854813390352031	2.241619697549482	3.1806256166877156	1.9449710205975304	3.2380092228778365	2.380191777011387	3.070903812612412	3.617655330149237	1.012387583534064
S136	0.8966004683296889	1.9829726882577885	1.3541004867972581	2.239350141725876	0.5907462058873333	0.4254686553031924	2.5640473871777862	1.6056079832853716	2.446606800963054	2.973978388673553	1.4073635880307318	3.0351959850044627	0.0	3.0224151376028616	0.8233873372994776	2.8462050234009837	0.38024921447939714	2.287363653489429	0.7031609413269424	0.8399444479233542	1.955359455667813	0.733821285822115	1.4640175518746985	2.30323963501516	3.0975506106743476	1.3825040766244892	2.3719838717783595	1.6826932102636658	2.0530088386294607	2.557075624132014	0.7841020527865536	0.8068689280982375	2.560058929503349	0.9491521615144334	2.044192087770888	1.6311081658387119	2.448352344621162	0.22961936940441516	2.0868932092695576	2.0128806530153693	2.040949090622274	2.718670614688113	0.6387709995134528	1.9280269776158763	3.244764479381232	0.5088194487314702	2.4189183283768942	1.091916815954895	3.055245649436931	1.3002313533199872	2.557950838417432	1.897101832845169	1.3418708065681817	2.705632712901579	1.1133467253815548	2.5176809419936337	1.0054636996069888	1.9172117340042258	0.8541601510040591	2.1896991182050694	0.5213078000950989	2.5365014047784347	1.0553826292061252	2.750442942314723	1.694273143760933	1.008397003352959	1.6079360844629	1.1496964185162166	2.6837293718928947
S143	3.3640142419958035	2.085637854797885	1.8924066029577715	1.5020768673848204	3.5630192786522463	2.797241767167096	0.48753282993194313	1.4589124804129028	2.553387893122664	1.1757401466251909	1.6277678570034066	1.5383768723263376	3.0224151376028616	0.0	2.9125230477291737	2.3518764632157403	3.0784147874267407	1.8211798865571425	3.7218960266187917	2.3594807796544526	3.878045313291704	2.409552588528035	2.576451567387406	4.187159384856096	1.2673062913148285	2.8789063106188593	4.296706380512773	2.151646086707635	3.057064823158923	3.0118580242846407	2.8477569016725224	2.5640053655523514	1.924693434624446	3.023536656746028	3.18702523293542	1.5640513239996643	2.1673063980586558	2.8484559255993904	2.2952878853211263	1.5277063273084204	3.786748384997138	1.1159813072423994	2.6331473543209936	1.1479391116067181	0.4211961913190629	3.145052564335403	1.6623080840450213	2.105865017129236	0.7736950403919501	3.970468018335681	2.6867497636438293	1.689268367239115	2.1722574908435255	4.008145912716442	3.8133127108018368	1.877543065389244	3.678814642989484	3.379950327077029	3.8289589420916337	2.9284527338785495	2.7230579051113963	3.3968001870435227	3.632931470828874	3.220637214339327	2.3817958726795676	2.744375559514906	3.771516025659753	3.0998773822539953	2.297323831398659
S144	0.7154739780737066	1.4224038195339375	1.069987295163943	2.486656048600178	0.9256298347635021	0.7483712323775827	2.520558911526188	1.719461364219886	1.698397601816451	2.5500758332935143	1.4341812262976799	2.5503726253522876	0.8233873372994776	2.9125230477291737	0.0	2.1618185992273458	1.184293931858975	1.8282546000705904	1.183266236359842	1.3188192438518314	1.351364409557421	1.2133227442248518	1.8872011046862753	1.6435523574902302	2.6590510107425573	0.7234951127768294	1.713813431763894	2.067837122142013	1.360274547461354	1.7862643655931296	0.31707475178012573	1.2435565944288884	1.9523541199534138	0.3726688057566134	1.2365133510369752	1.532382395080757	1.7974639840121192	0.861753107184569	1.4262826712640657	2.227046340814562	1.3035742652175017	2.319135915409757	0.758299942124452	1.9023645711711483	3.039665315272389	0.4408096352548476	1.8929984141444178	1.2183872817460326	2.7505095242606434	1.1615127490552892	1.7972297483230535	2.0923892869418705	1.7416416162448072	1.9196260653118151	0.9444683560860311	1.9476229395413336	1.6766984535617147	1.1195916840797964	1.4935956552161849	1.3937054416420693	0.8953640373923548	1.7205033479384944	0.7911311522299911	1.9501659711490413	2.228986176372636	0.31148237564748044	1.0077248815694617	1.8518429456338537	1.9966281422726924
S151	2.569343337619617	0.9772181606543042	1.6911991089494574	3.0817440117936563	3.0818410866163224	2.6618646968643827	2.322082218502107	2.3645237926084253	0.5838730063129287	1.2942042228441832	2.1422092822142047	0.9685938428070759	2.8462050234009837	2.3518764632157403	2.1618185992273458	0.0	3.1515464449835777	1.036134024198669	3.3237031167957674	2.814878791957334	2.3218599185389914	2.764559135072987	3.295972482891413	2.4531167148738016	1.2237972206473473	1.9657169553252483	2.58941718811688	3.1987509600696993	1.4018577121115292	0.8889805276803688	2.2620324745453515	2.87648759577615	0.47892986314333424	2.1447944183064735	1.4196047317626594	2.0837936366527554	0.41722070733899824	2.755917975202193	0.7920776147700747	2.8866713554934003	2.122777798944118	1.2414014717752637	2.5170983440008388	2.1916935537425766	2.1981087429552657	2.5659973178516595	1.0167162929677065	2.4512863369395546	1.7981239010800063	2.9988652660647643	0.5598384631115572	2.849013453672519	2.995215155930828	1.994619112922035	2.8952568115596566	1.0370166072797529	3.745421307997115	1.8201523705608065	3.612212399394274	1.0560051233622747	2.7203853907826785	1.3298114717671448	2.6964734030700104	1.0010749522013909	3.4989334771484057	1.9907743495942702	2.410237234764104	3.6376174035480284	0.19607279111061063
S152	1.2467254337305447	2.279753431683058	1.5801178630154662	2.1244316366141627	0.7930738888383846	0.5863004818081746	2.6019120564590588	1.6245967373457517	2.7693469274890945	3.1571800492550364	1.4984821827948012	3.2648296096252025	0.38024921447939714	3.0784147874267407	1.184293931858975	3.1515464449835777	0.0	2.548663670353749	0.8032352449207523	0.7434935110892597	2.3243622762199445	0.6726929296157551	1.2591284974529533	2.6634850897372337	3.295585299396295	1.6667112575396803	2.7135968843490104	1.5027306796802917	2.4215323896709697	2.915468729934537	1.0884062318901575	0.6998859758748744	2.8332305619803173	1.3284346634675064	2.4141619892944073	1.7093454815766076	2.74935413654327	0.4503089735891352	2.4054843248414555	1.920851226500083	2.4043282096356022	2.9047247858142216	0.7847638085398143	1.9717121866475933	3.3309890859019604	0.8804811740986759	2.641339737495949	1.1202408961841888	3.1808129662093583	1.5919397204895736	2.8911185984578833	1.8091548881294464	1.1874653924514533	3.0715829509715156	1.4144495270484474	2.746981625157975	0.7515484122219748	2.2637908679341083	0.7975545420220489	2.546867235208785	0.5792419846272316	2.902901491738403	1.3911615145649328	3.110433268886649	1.4431643273530914	1.3299427423841435	1.9652027649260468	0.799654207528142	2.9866524655229854
S159	2.1184320050878114	0.4637147525094286	1.0083904585364896	2.4481004565966518	2.6513871414510435	2.1843186221419937	1.6892292494201602	1.6183332963070902	1.1893489416110752	1.261256612150708	1.374379702179291	0.9155188413613271	2.287363653489429	1.8211798865571425	1.8282546000705904	1.036134024198669	2.548663670353749	0.0	2.840567305238774	2.136125034881996	2.274801025916033	2.092527896866715	2.787731033758104	2.61720800009285	1.1679119290214246	1.9449098616437077	2.830476866794809	2.605608730434823	1.3232491348642585	1.359693793980262	1.9551343874664084	2.3326652647515522	0.7896804933315917	1.7569046810778426	1.6324202855194527	1.6067639442861135	0.7171909656053582	2.13176650822856	0.7059347629056929	2.2784926183407364	2.3008592361482325	0.997692607524357	2.073873845850075	1.5824736531909684	1.8498579290246406	2.128222562818375	1.1322476908560648	1.927813885501444	1.6091863857113957	2.672219842353527	1.238152306648785	2.3064856389604054	2.372197590800917	2.4621588490820168	2.59309829383929	1.352258712054965	3.24542938297006	2.057932657012711	3.059144977159993	1.376826705733583	2.2246935668234	1.8367905519653656	2.3745015353461927	1.645578728836386	2.8087213363735937	1.7404047218780438	2.346283966561858	3.0294895632255114	1.0012166228204702
S160	0.9190326953526661	2.499176595488052	1.9877141254338866	2.90236253779235	0.2847831352826729	1.0239153288089202	3.2658902942290995	2.30581548973488	2.873065386525244	3.6148941529901863	2.1013931992595425	3.6327266354837735	0.7031609413269424	3.7218960266187917	1.183266236359842	3.3237031167957674	0.8032352449207523	2.840567305238774	0.0	1.500359512617911	1.888803167043964	1.4056470937368255	1.9768727407555209	2.1938451303376483	3.72765704322673	1.730721551909654	2.244013928559792	2.2818267308206623	2.3134240592280992	2.874183622894734	1.2067743751565805	1.4081510170990503	3.1033334705484226	1.21267034347923	2.273420270074611	2.3142614610828023	2.9463428657659074	0.885749323479169	2.5573954046825023	2.683110683387294	2.0490763984440403	3.362192843905297	1.2401411572634442	2.629779649310704	3.9381225481820996	0.7588609508994225	3.0127417272345567	1.7641772236275548	3.7310275175159457	0.9444523222096187	2.957807075773738	2.5553448996253127	1.9667354531015206	2.759389136945885	0.8096622530215969	3.0831118618397384	0.9248348009802716	2.0805316863924816	0.364066823282128	2.507984293710034	1.1297729982140927	2.753365417728526	0.8924206286006366	3.0359758081777377	2.2412066924959793	1.432986133570149	1.5214428862481437	1.4787579481966535	3.166338000595005
S167	1.6076430589110842	1.9574123254712887	1.1570227950417011	1.4144034936225232	1.4157429752377242	0.726326876877749	1.876796530975925	0.9057945695907621	2.527648444693037	2.5707359542556016	0.8633333357626255	2.7444096693802584	0.8399444479233542	2.3594807796544526	1.3188192438518314	2.814878791957334	0.7434935110892597	2.136125034881996	1.500359512617911	0.0	2.6003397043739414	0.11704053380089438	0.9142445477529016	2.9542555409904416	2.7218309906429003	1.6631383622031677	3.0202877983878724	0.9215315191899128	2.395930415572503	2.789428378904313	1.1857596758607436	0.4280147921271041	2.424607202648648	1.4992554341655333	2.427340647320746	1.0860435505562376	2.4117988227121936	0.7106108460344598	2.137292829827657	1.2077000207440993	2.620425554225457	2.322819543870778	0.7267290292057742	1.2641347129224374	2.6308411902144484	1.2367353871614772	2.165103810185201	0.5736040543298871	2.5249048888764567	2.1114871571225846	2.6724415736940053	1.1321210590665787	0.5652293053434089	3.202819082450563	1.9259506579112768	2.309071311104925	1.3532465384402583	2.359784007708582	1.5301107554041646	2.4527375104005804	0.6125298002602101	2.887125588337363	1.8325167138542593	3.0072606768417827	0.9442150576102765	1.3357512512720007	2.2919939579718616	0.9045976409738705	2.6542686885899283
S168	1.128103699684216	1.8751782434330726	2.063813986650666	3.7650259488648015	1.7218747348788725	2.05459103503623	3.5704682864818613	2.9035989275476886	1.8821276251537562	3.251448211899985	2.5689896565813233	3.0199690535505606	1.955359455667813	3.878045313291704	1.351364409557421	2.3218599185389914	2.3243622762199445	2.274801025916033	1.888803167043964	2.6003397043739414	0.0	2.486821776979137	3.231125759299719	0.5659538121365391	3.2630022067482076	1.6399117727034098	0.9329378311331564	3.408683085397959	1.0186842223478612	1.5120499822776554	1.6246712496551452	2.57603753696642	2.3896947548028082	1.1031404215372993	0.97841688640688	2.748399292542401	2.0981353516089833	2.0013706546730234	1.7453613890100839	3.5130068926034217	0.6637719603648121	3.0419732042606045	2.1043220795363213	3.0651950573004485	3.941322446601211	1.4568329650891392	2.6219573580514153	2.5495826236051706	3.6074176030723515	1.0491337961366205	1.8419394209384858	3.4021696617686783	3.0731186054591806	1.1572089221401893	1.1129070217579697	2.63470957422973	2.707073614268829	1.1192760070907966	2.2180509968457782	1.3157081171237859	2.2145987955349606	1.2835169262357282	0.9994950606623587	1.5981199356798454	3.538784496955813	1.5104818347372821	0.5346603085103975	3.087701510785115	2.2304462104349674
S17	1.4906426339506431	1.8970050952805053	1.1065291117080756	1.5171805422309472	1.3148625655681827	0.6377160666891114	1.9307454130436332	0.9541250878574355	2.4651152549341733	2.574741475070943	0.8683494213623243	2.7275530862108073	0.733821285822115	2.409552588528035	1.2133227442248518	2.764559135072987	0.6726929296157551	2.092527896866715	1.4056470937368255	0.11704053380089438	2.486821776979137	0.0	0.9938602274812431	2.844415478312903	2.7198428582204643	1.5890614254848425	2.9152809649010814	1.0306415540357816	2.3002280008983074	2.7084538617208103	1.0927264832353591	0.4333713673003119	2.3862271083772493	1.3867554111999316	2.3334838654203773	1.1119317555047656	2.359070379334223	0.5980472276849164	2.0711545471294652	1.3047072085841669	2.5161689164932564	2.322602244024593	0.6547298830632979	1.3119305532427203	2.672822849194167	1.1227635344352613	2.1469861535365786	0.5887384961477717	2.552269990766773	1.996932418537932	2.605858454477045	1.2247964642939282	0.6728860212154908	3.10526422373157	1.813193201825894	2.288258258824778	1.3198583604915919	2.2685081762943597	1.4512434413135524	2.3693291289482468	0.5409477552678126	2.798693913014755	1.7172186771860138	2.9265356782983467	1.058181261465389	1.245497386527491	2.180384235344244	0.9426611749196518	2.6038091032739255
