otu_id	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
OTU_437	0	36	172	541	0	0	0	1423	16	38	87	21	114	407	15	121	89	178	0	152	94	169	84	0	19	0	0	1882	0	0	0	27	106	0	0	407	208	0	245	362	54	317	0	0	227	0	83	0	78	16	19	669	0	0	0	0	0	0	0	111	399	0	0	0	0	0	0	0	0
OTU_3568	61	0	129	0	0	0	0	0	0	0	111	0	0	0	45	0	0	14	42	54	34	45	51	45	0	0	0	25	0	0	25	123	0	0	0	0	0	0	0	0	0	0	180	12	33	0	0	19	0	0	0	0	0	0	0	0	0	11	131	0	0	0	56	0	0	81	0	134	0
OTU_2590	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	38	13	0	0	0	0	0	0	0	0	85	0	11	0	18	0	32	0	42	0	0	31	0	0	0	0	0	0	0	0	0	81	0	0	0	18	0	0	0	0	0	0	0	22	0	0	0	0
OTU_1715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0
OTU_63	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	13	0	0	12	1335	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	62	14	0	0	0	0	0	48	268	0	0	15	0	0	0	0	0	20	0	127	9	0	0	0	0	0	0
OTU_3265	0	0	0	794	0	0	273	102	0	0	40	0	511	141	0	0	128	76	459	349	0	0	496	0	55	36	0	1303	0	0	0	0	0	13	0	0	0	0	0	130	0	14	0	19	0	0	0	114	139	0	0	285	301	0	0	13	517	0	68	0	28	0	21	9	518	17	0	0	0
OTU_1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	192	0	0	0	0	920	0	0	0	4949	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3505	72	0	0	0	94	0	0	382	0	0	17	0	0	15	0	0	0	0	30	117	0	0	4317	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_852	0	0	0	0	0	0	0	0	0	0	25	0	65	0	16	0	1738	532	595	1040	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1086	0	427	0	852	0	0	0	384	0	0	0	0	0	0
