otu_id	reference_ID	phylum	class	order	family	genus	species	score	cutoff	abundance	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
OTU_2059	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2059	0.96364	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_3338	KX033471	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae_pseudo_genus_0932	Phaeosphaeriaceae_pseudo_species_3338	0.96296	0.935	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_2090	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2090	0.94118	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_1213	MF942475	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_pseudo_species_1213	1	0.964	13	litter_saprotroph	plant_pathogen	foliar_endophyte	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,soil,dung,animal_material	""	partly_aquatic	animal_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_2405	OTU_2378	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_pseudo_species_2405	0.96154	0.895	13	arbuscular_mycorrhizal	root-associated	root_endophyte	""	""	""	partly_freshwater_(partly_non-aquatic)	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_3906	OTU_3898	Ascomycota	Sordariomycetes	Sordariomycetes_pseudo_order_0200	Sordariomycetes_pseudo_family_0519	Sordariomycetes_pseudo_genus_1160	Sordariomycetes_pseudo_species_3906	0.97849	0.843	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3679	MG925397	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Ruhlandiella	Ruhlandiella_pseudo_species_3679	0.93258	0.893	13	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	gasteroid-hypogeous	closed	short-distance_coarse	/terfezia-peziza_depressa	""	
OTU_2559	UDB0419485	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Infundichalara	Infundichalara_pseudo_species_2559	0.98667	0.962	13	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	Pinus	filamentous_mycelium	""	""	""	""	""	
OTU_2861	MT765564	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microdominikia	Microdominikia_pseudo_species_2861	0.98077	0.895	13	arbuscular_mycorrhizal	root-associated	root_endophyte	""	""	""	""	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_2862	MT765580	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microdominikia	Microdominikia_pseudo_species_2862	0.94545	0.895	13	arbuscular_mycorrhizal	root-associated	root_endophyte	""	""	""	""	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_2864	MT765580	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Microdominikia	Microdominikia_pseudo_species_2864	0.94545	0.895	13	arbuscular_mycorrhizal	root-associated	root_endophyte	""	""	""	""	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_1047	MH425629	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_pseudo_species_1047	0.70244	0.7	13	nectar/tap_saprotroph	""	""	""	sugar-rich_substrates	""	partly_aquatic	animal-associated/opportunistic_human_parasite	""	yeast	none	none	""	""	""	
OTU_2882	OR583097	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	Montagnula_pseudo_species_2882	0.98734	0.963	13	wood_saprotroph	""	no_endophytic_capacity	""	wood	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_3045	MH327807	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriaceae	Nullicamyces	Nullicamyces_pseudo_species_3045	0.96078	0.825	13	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	""	""	""	""	""	
OTU_3018	LR961654	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia_pseudo_species_3018	0.96825	0.965	13	litter_saprotroph	dung_saprotroph	""	""	wood,leaf/fruit/seed,soil,dung	""	""	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_68	KP012732	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pseudo_species_0068	0.97156	0.951	13	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_3111	LR736038	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Paecilomyces	Paecilomyces_pseudo_species_3111	0.96296	0.7	13	foliar_endophyte	litter_saprotroph	foliar_endophyte	""	leaf/fruit/seed,animal_material	soft_rot	partly_aquatic	invertebrate_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1318	KX811208	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_pseudo_species_1318	0.99359	0.944	13	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	""	partly_aquatic	animal-associated/opportunistic_human_parasite	""	yeast	""	""	""	""	""	
OTU_538	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0538	0.98148	0.7	13	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_539	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0539	0.96296	0.7	13	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_2087	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2087	0.95402	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2085	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2085	0.96364	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2081	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2081	0.90196	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2091	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2091	0.90741	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
