otu_id	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
OTU_1282	0	0	33	0	0	0	0	0	251	0	27	0	0	0	402	0	11	0	0	0	90	0	26	0	74	0	0	0	0	0	23	0	0	0	0	0	0	0	0	95	353	777	0	0	0	0	0	0	98	115	0	0	0	0	194	0	0	18	125	0	19	0	0	0	36	0	23	12	0	0	41	0
OTU_4189	0	0	183	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0	0	386	0	167	0	0	0	5188	0	0	0	0	0	54	0	823	0	0	0	0	0
OTU_625	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3705	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3333	0	5971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_437	0	0	0	12	0	0	0	0	0	56	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
OTU_3568	0	28	0	51	0	724	0	0	0	24	18	240	155	18	112	250	0	216	11	0	0	233	0	60	33	18	79	0	462	18	201	0	36	22	615	368	0	226	0	179	179	92	14	0	0	13	244	91	20	0	217	54	0	0	0	0	0	192	111	255	0	176	0	724	0	34	0	0	0	141	28	476
OTU_2590	173	443	0	50	79	463	18	0	0	202	20	232	31	484	0	184	134	212	0	505	0	0	59	141	76	136	324	47	170	0	14	0	75	47	0	175	0	376	112	432	85	66	50	0	89	117	87	293	0	0	219	23	0	481	0	27	26	38	0	106	0	153	0	344	30	230	0	0	0	63	55	452
OTU_605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	1720	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	6634	0
OTU_1715	235	334	0	0	45	1104	103	0	0	0	0	894	108	94	0	20	0	601	52	127	0	19	17	180	54	0	0	0	0	97	0	0	0	0	0	166	0	431	0	213	0	178	14	125	0	53	0	720	0	0	9	0	0	486	0	0	0	40	0	424	0	0	0	0	146	457	0	0	0	0	0	1104
OTU_3764	0	0	0	0	814	0	0	0	0	0	2192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4158	0	1414	0
OTU_3704	0	0	0	0	5042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3717	0	0	0	0	0	0	0	0	0	0	3651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
OTU_63	0	0	12	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	983	0	32	0	28	0	98	0	0	0	557	0	1880	582	0	41	0	0	0	0	0	0	87	12	21	113	638	0	0	0	0	491	0	29	0	0	0	31	0	0	0	0
OTU_422	235	136	0	0	0	375	102	0	0	0	0	0	25	340	28	0	0	140	847	195	0	0	0	91	215	142	487	23	0	108	32	78	742	0	0	0	0	52	293	151	0	305	29	400	459	0	0	122	129	0	327	0	0	95	0	0	74	46	0	201	0	27	0	0	17	267	0	0	244	0	0	55
OTU_3265	0	0	0	18	0	0	0	0	0	0	0	19	16	0	0	27	0	18	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	47	0	0	94	0	0	14	0	0	0	0	24	0	0	0	58	0	0	0	98	0	42	0	0	0	0	0	0
OTU_1736	115	90	0	25	94	447	135	21	18	29	26	234	106	115	127	65	108	90	115	322	82	120	77	152	293	164	79	54	154	24	278	57	95	48	126	375	23	398	17	167	32	43	38	125	30	70	150	36	99	0	98	41	0	55	185	89	57	78	29	102	88	57	9	57	116	100	0	21	86	0	97	292
OTU_228	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	134	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	96	0	0	0	304	0	0	0	0	0	0	0	0
OTU_3505	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	537	0	0	0	0	36	0	0	0	0	0	0	0	663	0	0	0	0	0	0	45	0	0	0	33	144	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0
OTU_3761	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	338	0	0	0	0	4710	0	0	0	0
OTU_3024	0	0	0	0	361	0	69	0	0	137	26	0	0	0	0	381	68	334	58	37	0	253	223	108	0	0	0	116	0	145	0	0	408	21	0	0	0	279	0	523	80	0	0	0	218	0	0	0	0	0	160	66	0	0	0	0	115	195	0	15	0	0	0	1121	374	0	0	0	10	0	552	0
OTU_3722	0	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2520	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	18	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	686	0	0	110	0	0	101	0	83	0	0	0	257	0	179	11	0	0	1393	0	21	0	0	0	0	0
OTU_2589	14	121	142	116	0	0	0	117	58	31	0	15	181	128	40	303	0	0	16	0	53	61	53	0	37	66	60	0	415	0	48	146	16	12	251	76	144	185	91	0	97	0	0	12	106	47	0	78	312	189	10	77	150	27	0	486	33	63	0	41	28	208	22	224	44	31	135	339	20	205	26	18
OTU_590	704	0	0	0	0	0	0	0	0	0	0	0	223	60	0	0	0	0	657	14	0	0	0	0	0	0	272	0	0	843	0	0	530	0	0	0	0	0	1926	0	0	91	0	0	397	19	0	0	0	29	172	0	0	0	0	260	75	0	0	0	0	17	40	0	0	0	0	22	57	0	19	0
OTU_4032	52	0	0	0	0	0	0	0	0	0	0	69	58	60	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	29	0	0	24	0	0	0	0	0	115	24	0	84	0	0	148	0	0	99	0	22	0	0	0	22	0	0	0	53	0	62	0	0	0	0	0	0
