otu_id	S1	S10	S100	S101	S102	S106	S107	S108	S109	S11	S110	S112	S113	S114	S115	S116	S117	S121	S122	S123	S124	S126	S127	S129	S130	S131	S132	S134	S136	S138	S140	S141	S142	S144	S145	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S160	S161	S162	S164	S165	S166	S167	S168	S169	S17	S170	S171	S172	S173	S175	S177	S179	S181	S182	S185	S186	S187	S188	S189	S190	S192	S2	S20	S25	S34	S36	S41	S42	S44	S50	S52	S57	S59	S60	S65	S66	S67	S68	S73	S81	S82	S84	S89	S9	S91	S92	S103	S104	S105	S111	S118	S119	S12	S120	S125	S128	S133	S137	S139	S143	S146	S159	S163	S174	S176	S18	S180	S183	S184	S191	S26	S27	S28	S3	S33	S35	S4	S49	S51	S58	S74	S75	S76	S83	S90	S97	S99	S178	S98
OTU_1241	0	0	0	0	0	893	0	0	0	0	0	0	0	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
OTU_4101	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	67	0	0	0	0	0	36	0	0	0	0	0	16	0	0	0	0	43	0	0	34	0	0	96	0	0	0	5	0	0	0	0	0	205	0	188	0	0	0	51	0	0	0	0	7	358	0	0	129	0	5	0	0	0	32	0	0	269	214	0	7	0	0	0	0	0	0	0	0
OTU_2785	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	322	0	0	4	7	0	1676	0	11	0	4	103	4	0	0	0	4	0	17	4	0	0	0	0	8	0	0	0	0	0	0	0	4	0	3	0	0	0	15	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	14	0	0	0	0
OTU_4102	0	49	0	0	0	0	0	0	0	13	0	31	0	0	10	17	0	0	0	0	0	0	0	0	34	5	9	0	8	0	0	0	0	0	0	0	0	0	0	24	5	0	7	0	0	0	0	11	0	0	0	0	4	0	179	0	6	0	0	0	3	0	0	5	0	0	0	12	0	0	0	3	0	95	6	0	0	6	105	0	0	0	0	41	11	21	0	0	5	401	0	16	172	226	0	0	0	259	0	6	0	0	0	12	421	0	0	0	0	0	0	11	0	0	0	0	15	53	0	0	6	5	6	0	156	0	634	332	8	165	36	0	26	6	783	0	16	0	0	0	0
OTU_1282	0	0	0	0	7	0	0	0	0	0	66	0	0	6	0	0	0	0	5	0	0	19	0	0	8	0	18	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	80	141	0	0	0	31	0	0	18	32	0	79	68	0	0	0	0	52	0	31	3	0	0	0	0	8	0	3	3	0	3	0	9	0	84	0	11	16	0	0	0	7	0	0	0	232	69	0	17	0	268	0	0	0	0	0	0	0	0	0	133	0	7	3	0	5	0	0	0	0	0	42	0	0	0	0	7	0	392	0	0	0	50	0	0	0	796	0	0	0	0	0	0	0	236	0	0	38	7
OTU_4189	0	0	0	0	39	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	103	0	44	0	0	0	0	0	0	0	12	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	47	0	0	0	370	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1559	0
OTU_625	3	107	0	0	0	0	0	0	0	0	0	134	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	275	0	10	0	0	190	53	0	0	19	0	256	0	0	0	23	0	32	5	38	0	14	0	0	0	0	143	47	0	142	0	0	0	60	0	61	0	0	0	440	0	0	0	0	117	0	0	16	331	255	58	73	99	0	0	0	26	0	0	0	0	0	0
OTU_3705	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_437	0	21	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	3	0	0	38	0	0	0	0	0	28	0	0	0	0	8	0	0	0	0	0	28	19	0	0	0	0	0	0	0	0	0	0	0	0	40	29	0	45	0	0	0	0	19	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	82	85	0	0	0	0	28	6	407	0	0	0	0	0	166	0	0	0	0	0	0	45	125	5	0	0	390	8	10	0	7	0	0	0	91	0	38	0	0	0	6	0	0	0	319	32	0	0	386	102	131	13	89	21	6	0	0	36	0	0	0	0	0	0
OTU_3568	13	0	0	6	0	0	157	0	0	0	0	0	8	4	46	37	4	72	0	46	3	0	49	59	0	14	8	19	0	68	46	0	7	23	8	87	0	47	0	0	0	38	40	17	3	0	0	12	3	52	4	0	68	14	10	15	12	0	0	0	0	12	34	56	42	0	119	0	12	0	0	0	0	0	12	29	0	0	0	95	6	0	19	0	0	0	0	0	0	0	0	0	0	0	0	77	47	0	34	0	21	0	37	0	0	0	0	0	5	0	6	0	151	3	19	0	13	0	0	0	0	4	0	0	0	0	0	0	0	13	0	0	4	42	0	51	0	98	83	33	5
