sample_id	regime	block	plot	quadrat	litter_type	community	richness_bacteria	shannon_bacteria	evenness_bacteria	pco1_49_leaf_bacteria	pco2_42_leaf_bacteria	pco1_54_soil_bacteria	pco2_40_soil_bacteria
S29	E2	B	B5	4	Leaf	Soil	241	5.12673677097152	0.934717699331258			-0.0867848115818844	-0.0974311356057683
S5	E2	B	B5	1	Leaf	Soil	366	5.56134586453771	0.942180472750627			-0.104957661276871	-0.190898802958044
S70	E2	B	B5	1	Grass	Soil	477	5.86490486559805	0.950934606216723			-0.00752075538323605	0.189463175532643
S78	E2	B	B5	2	Grass	Soil	488	5.86979434694235	0.948222176432604			0.228174733673835	-0.0438969037151938
S86	E2	B	B5	3	Grass	Soil	559	6.00087272311655	0.94858219025351			0.147222433987359	0.0517534963518454
S94	E2	B	B5	4	Grass	Soil	526	5.95480128276847	0.950441340419839			-0.141762215187141	0.16511489913097
S233	U	B	B6	1	Grass	Leaf	576	6.0387639954047	0.950072641586368	-0.135365268198604	-0.162738044323871		
S241	U	B	B6	2	Grass	Leaf	584	6.05913383040629	0.951213189457781	-0.165822566398662	-0.177421780057169		
S249	U	B	B6	3	Grass	Leaf	492	5.77111793933785	0.931053925212749	-0.136021246317743	-0.157844629556239		
S257	U	B	B6	4	Grass	Leaf	437	5.44203456975077	0.895081310126996	-0.176798999888337	-0.145936283876016		
S265	U	B	B6	1	Leaf	Leaf	467	5.71835158969434	0.930368574472224	-0.0376914750421529	-0.229561847553549		
S272	U	B	B6	2	Leaf	Leaf	411	5.21572720861138	0.866602380777107	0.0195654614569064	0.0228589627674223		
S280	U	B	B6	3	Leaf	Leaf	562	5.97348869239184	0.943455255010648	-0.0302155764822285	-0.119383353766936		
S288	U	B	B6	4	Leaf	Leaf	611	6.08956747430679	0.949255718668539	-0.0615096743575426	-0.166889246818571		
S37	U	B	B6	1	Grass	Soil	636	6.18348466572835	0.95790773979365			-0.0602042199084945	-0.0550411136438231
S45	U	B	B6	2	Grass	Soil	628	6.16906154099437	0.957551118284491			-0.127435641832983	0.101418527685048
S53	U	B	B6	3	Grass	Soil	615	6.14346493309204	0.956684257791218			-0.0150011823023283	-0.0192333381588825
S61	U	B	B6	4	Grass	Soil	643	6.21154271380152	0.960625377053231			-0.154051883280906	0.0411360435948773
S69	U	B	B6	1	Leaf	Soil	600	6.11048776308555	0.955221972482216			-0.0422170803418126	-0.189279241648251
S77	U	B	B6	2	Leaf	Soil	567	6.08532660575866	0.959776301980371			-0.1453568453012	-0.100103031059368
S85	U	B	B6	3	Leaf	Soil	597	6.08719897056792	0.952327582254435			-0.0223035534582516	0.201448325868005
S93	U	B	B6	4	Leaf	Soil	637	6.19281633037561	0.959119909912108			-0.130217166629311	-0.0671065362665015
S196	L2	C	C2	1	Grass	Soil	533	5.96769103438967	0.950493058990005			-0.135581130422443	-0.0155026685778129
