sample_id	regime	block	plot	quadrat	litter_type	community	richness_fungi	shannon_fungi	evenness_fungi	pco1_57_leaf_fungi	pco2_38_leaf_fungi	pco1_54_soil_fungi	pco2_39_soil_fungi
S117	L2	C	C2	3	Grass	Soil	165	3.99770227691774	0.782950444212985			-0.178782697550796	-0.0780976280957312
S118	U	C	C5	3	Leaf	Soil	204	4.50174820281639	0.846492408600635			0.157167216467372	-0.0426199255874092
S119	L2	A	A2	3	Grass	Leaf	134	3.60137876046258	0.735299419245741	-0.0733160232982746	0.104467567037577		
S12	L2	B	B3	2	Grass	Leaf	137	3.96569253395468	0.806038192777583	0.154616637629256	0.00583805270561744		
S120	E2	A	A5	3	Leaf	Leaf	129	3.21847422830756	0.662263058841321	0.123249849075508	0.176989485708592		
S121	L2	A	A2	4	Grass	Soil	215	4.6441816111032	0.864735546648314			-0.0215879356381864	-0.264286519120025
S122	E2	A	A5	4	Leaf	Soil	149	3.79661921067472	0.758725009931411			0.00612281300912907	0.112960760464061
S123	L2	B	B3	4	Grass	Soil	219	4.45192840820948	0.826103015771339			-0.105994431518096	-0.0145152106618793
S124	E2	B	B5	4	Leaf	Soil	174	4.07173469616953	0.789240366698426			-0.0222899793400395	0.284272138872605
S125	L2	C	C2	4	Grass	Soil	158	3.81854633834859	0.754266599132946			-0.2259817089404	-0.0980546638116824
S126	U	C	C5	4	Leaf	Soil	106	2.80455402681503	0.601391799102937			0.17202035295181	0.0112719167314379
S127	L2	A	A2	4	Grass	Leaf	127	3.99301406284625	0.824289812011657	-0.0532660379894747	0.0705969749388316		
S128	E2	A	A5	4	Leaf	Leaf	161	4.12373947262016	0.811535389908448	0.156669080266613	0.135222007183974		
S129	L2	A	A2	1	Leaf	Soil	169	3.96472623570044	0.772866377296476			-0.0184531206672769	0.0313340558272893
S130	U	A	A6	1	Grass	Soil	211	4.51670580307442	0.843950958793593			-0.00865368015871928	-0.0035916595405506
S131	L2	B	B3	1	Leaf	Soil	219	4.29900892995903	0.797727168145415			-0.0578075300187563	0.00336444256899001
S132	U	B	B6	1	Grass	Soil	133	3.62867386091356	0.742007117645817			-0.0630820336931111	0.0747486614814939
S133	L2	C	C2	1	Leaf	Soil	176	3.69760354551299	0.715136832269744			-0.0594250318960569	0.0824740166429
S134	E2	C	C6	1	Grass	Soil	129	3.43876432083112	0.707591988066214			-0.0431253386488538	0.0851201516139303
S136	U	A	A6	1	Grass	Leaf	145	3.95550804109506	0.794800012582387	-0.118320961874785	-0.0678217009535174		
S137	L2	A	A2	2	Leaf	Soil	138	3.19686004183319	0.648811741003587			-0.0738359559392553	0.0115470567880819
S138	U	A	A6	2	Grass	Soil	177	3.99749506946036	0.772291234989567			0.116765891685915	-0.0796598804661009
S139	L2	B	B3	2	Leaf	Soil	157	3.92099597959552	0.775475744365124			0.00877000555241421	0.252156859494567
S140	U	B	B6	2	Grass	Soil	153	3.85539771793916	0.766413934171357			-0.0455957645236813	0.0619299175818375
S141	L2	C	C2	2	Leaf	Soil	151	3.87292574583551	0.771917427729948			0.0917685559808515	0.0296880131964064
S142	E2	C	C6	2	Grass	Soil	139	3.3234628042459	0.673519173327018			0.00940089715662676	0.154094196880849
S143	L2	A	A2	2	Leaf	Leaf	182	4.29444306544731	0.825218590919912	0.0182870444738017	0.242046997173592		
S144	U	A	A6	2	Grass	Leaf	87	2.46769596650745	0.552563084806788	-0.0259674873210503	-0.0722768819556687		
S145	L2	A	A2	3	Leaf	Soil	149	3.71532856224667	0.742479702036827			-0.000575068397623367	0.121041099002038
S146	U	A	A6	3	Grass	Soil	194	4.38095486493027	0.831638729185002			0.108957330649936	-0.281013823636788
S147	L2	B	B3	3	Leaf	Soil	193	4.27192753919208	0.811738366852454			-0.0922032063374972	-0.0404611252374264
S148	U	B	B6	3	Grass	Soil	118	3.30419935801763	0.692604860332328			0.151469215242995	-0.00594443167361633
S149	L2	C	C2	3	Leaf	Soil	177	4.01881631213583	0.77641036673363			-0.128856567980801	-0.0175568345470413
S150	E2	C	C6	3	Grass	Soil	143	3.93674702675752	0.793244060624835			-0.0088793653096855	0.0769736128146098
S151	L2	A	A2	3	Leaf	Leaf	134	3.26914473594987	0.667466652539888	0.189689567537363	0.0455725269449064		
S152	U	A	A6	3	Grass	Leaf	118	3.46084420953581	0.72543973914927	-0.159334025957321	-0.053931552237038		
S153	L2	A	A2	4	Leaf	Soil	211	4.58688203198526	0.857063456763577			-0.162773513369797	-0.128660164488889
S154	U	A	A6	4	Grass	Soil	178	4.02409022929272	0.776584006305298			0.189987313643019	-0.0689950474201457
S155	L2	B	B3	4	Leaf	Soil	145	2.76722047529129	0.556031449242324			-0.0451428061573435	0.162408881875563
S156	U	B	B6	4	Grass	Soil	128	3.2735332179738	0.674672877108012			0.0714350997955842	-0.00354226925103709
S157	L2	C	C2	4	Leaf	Soil	165	3.81872640562505	0.74789799952717			-0.0928662258210951	0.095221032932313
S158	E2	C	C6	4	Grass	Soil	136	3.49820685924577	0.712080726330451			-0.0498732166883416	0.0865194677949028
S159	L2	A	A2	4	Leaf	Leaf	144	3.98796031200212	0.802436645324756	0.0955813845508411	0.0496102507676388		
S160	U	A	A6	4	Grass	Leaf	154	3.90220689758887	0.774715826334954	-0.143463793146016	-0.143615970551584		
