Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Myriangiales	0.994	0.8971	50	Myriangiales	0.994	0.8971	50	72	38	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Phacidiales	0.987	0.7946	50	All	0.988	0.8276	50	59	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Myrmecridiales	0.97	0.735	50	All	0.988	0.8276	50	44	17	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Chaetomellales	0.966	0.9213	50	Chaetomellales	0.966	0.9213	50	35	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Taphrinales	0.987	0.7909	50	All	0.988	0.8276	50	102	42	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Blastocladiales	0.911	0.735	50	All	0.988	0.8276	50	32	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Coronophorales	0.99	0.8267	50	All	0.988	0.8276	50	47	29	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Abrothallales	0.993	0.825	50	Dothideomycetes	0.99	0.8471	50	40	25	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cystobasidiomycetes_ord_Incertae_sedis	0.966	0.8207	50	Cystobasidiomycetes_ord_Incertae_sedis	0.966	0.8207	50	79	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Ascosphaerales	0.987	0.8503	50	Ascosphaerales	0.987	0.8503	50	57	17	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Leprocaulales	0.982	0.9342	50	Leprocaulales	0.982	0.9342	50	38	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Atractiellales	0.981	0.9303	50	Atractiellales	0.981	0.9303	50	58	34	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Valsariales	0.968	0.8487	50	Valsariales	0.968	0.8487	50	30	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Mycocaliciales	0.931	0.874	50	Mycocaliciales	0.931	0.874	50	88	47	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
